OurAirports_name,icao,iata,countryLabel,lat,lon,filename
Queen Beatrix International Airport,TNCA,AUA,Aruba,12.50138889,-70.01527778,mapbox_12.50138889_-70.01527778_32.png
Adelaide International Airport,YPAD,ADL,Australia,-34.945,138.5305556,mapbox_-34.945_138.5305556_33.png
Melbourne Avalon International Airport,YMAV,AVV,Australia,-38.039444,144.469444,mapbox_-38.039444_144.469444_34.png
Brisbane International Airport,YBBN,BNE,Australia,-27.38333333,153.1183333,mapbox_-27.38333333_153.1183333_35.png
Broome International Airport,YBRM,BME,Australia,-17.94472222,122.2316667,mapbox_-17.94472222_122.2316667_36.png
Cairns International Airport,YBCS,CNS,Australia,-16.88583333,145.7552778,mapbox_-16.88583333_145.7552778_37.png
Darwin International Airport / RAAF Darwin,YPDN,DRW,Australia,-12.41472222,130.8766667,mapbox_-12.41472222_130.8766667_39.png
Hobart International Airport,YMHB,HBA,Australia,-42.836112,147.510278,mapbox_-42.836112_147.510278_40.png
Melbourne Airport,YMML,MEL,Australia,-37.67333333,144.8433333,mapbox_-37.67333333_144.8433333_41.png
Perth International Airport,YPPH,PER,Australia,-31.94,115.965,mapbox_-31.94_115.965_42.png
Port Hedland International Airport,YPPD,PHE,Australia,-20.37777778,118.6263889,mapbox_-20.37777778_118.6263889_43.png
Sydney Kingsford Smith International Airport,YSSY,SYD,Australia,-33.94833333,151.1761111,mapbox_-33.94833333_151.1761111_44.png
Graz Airport,LOWG,GRZ,Austria,46.99305556,15.43916667,mapbox_46.99305556_15.43916667_45.png
Innsbruck Airport,LOWI,INN,Austria,47.26027778,11.34388889,mapbox_47.26027778_11.34388889_46.png
Klagenfurt Airport,LOWK,KLU,Austria,46.64277778,14.33722222,mapbox_46.64277778_14.33722222_47.png
Linz-Hörsching Airport,LOWL,LNZ,Austria,48.23527778,14.18805556,mapbox_48.23527778_14.18805556_48.png
Salzburg Airport,LOWS,SZG,Austria,47.79444444,13.00333333,mapbox_47.79444444_13.00333333_49.png
Vienna International Airport,LOWW,VIE,Austria,48.11027778,16.56972222,mapbox_48.11027778_16.56972222_50.png
Ganja International Airport,UBBG,GNJ,Azerbaijan,40.73777778,46.3175,mapbox_40.73777778_46.3175_52.png
Heydar Aliyev International Airport,UBBB,GYD,Azerbaijan,40.4675,50.04666667,mapbox_40.4675_50.04666667_53.png
Bahrain International Airport,OBBI,BAH,Bahrain,26.27083333,50.63361111,mapbox_26.27083333_50.63361111_58.png
Hazrat Shahjalal International Airport,VGHS,DAC,Bangladesh,23.845,90.4005,mapbox_23.845_90.4005_59.png
Osmany International Airport,VGSY,ZYL,Bangladesh,24.96333333,91.86694444,mapbox_24.96333333_91.86694444_60.png
Shah Amanat International Airport,VGEG,CGP,Bangladesh,22.24972222,91.81333333,mapbox_22.24972222_91.81333333_61.png
Grantley Adams International Airport,TBPB,BGI,Barbados,13.07472222,-59.4925,mapbox_13.07472222_-59.4925_62.png
Brest International Airport,UMBB,BQT,Belarus,52.10833333,23.89805556,mapbox_52.10833333_23.89805556_63.png
Minsk National Airport,UMMS,MSQ,Belarus,53.8825,28.0325,mapbox_53.8825_28.0325_65.png
Brussels Airport,EBBR,BRU,Belgium,50.90138889,4.484444444,mapbox_50.90138889_4.484444444_67.png
Ostend-Bruges International Airport,EBOS,OST,Belgium,51.200278,2.870278,mapbox_51.200278_2.870278_69.png
Philip S. W. Goldson International Airport,MZBZ,BZE,Belize,17.53916667,-88.30833333,mapbox_17.53916667_-88.30833333_70.png
Cotonou Cadjehoun International Airport,DBBB,COO,Benin,6.355833333,2.385,mapbox_6.355833333_2.385_71.png
Paro International Airport,VQPR,PBH,Bhutan,27.40881944,89.42058056,mapbox_27.40881944_89.42058056_72.png
